sr_no,date,startup_name,subvertical,city,investors,investment_type,amount_usd,remarks,year,industry
2487,2015-05-08,sunday realty solutions,,mumbai,"ramesh jogani, shailesh viswanathan, jay srinivasan",seed funding,785000.0,,2015.0,real_estate
2488,2015-06-08,klozee,,bangalore,tracxn labs,seed funding,,,2015.0,real_estate
2489,2015-06-08,appvigil,,mumbai,"ravi gururaj, gaurav sharma, viswanath ramachandran, ripplewave",seed funding,500000.0,pre series-a,2015.0,technology
2490,2015-06-08,practo,,bangalore,"sofina, google capital, altimeter capital, sequoia capital global equities, yuri milner, sequoia capital, matrix partners",private equity,90000000.0,series c,2015.0,healthcare
2491,2015-06-08,loudshout,,delhi,"sanjay sethi, ravi jaipuria & others",seed funding,,,2015.0,other
2492,2015-06-08,wetravelsolo,,delhi,"ccube angels, frontline strategy",seed funding,,,2015.0,technology
2493,2015-06-08,ketto,,mumbai,"chennai angels, calcutta angels, ah ventures, intellecap impact investment network, indus age partners, singapore angel network, india internet fund, letsventure",seed funding,700000.0,,2015.0,other
2494,2015-06-08,ezetap,,bangalore,"horizons ventures, capricorn investment group, social capital, helion advisors, berggruen holdings",private equity,25000000.0,series c,2015.0,other
2495,2015-06-08,ndtv ecommerce venture,,mumbai,"inflexionpoint, pramod bhasin, sixth sense ventures, vindi banga, hiro mashita",private equity,,series a,2015.0,ecommerce
2496,2015-07-08,carlxe2x80x99s jr,,gurgaon,youwecan ventures,seed funding,630000.0,,2015.0,food
2497,2015-07-08,easyrewardz,,mumbai,"wealth first, ashneer grover, atul phadnis",private equity,500000.0,pre-series a,2015.0,other
2498,2015-07-08,gibss,,mumbai,"responsability investments, infuse ventures",private equity,,series a,2015.0,other
2499,2015-07-08,storemore.in,,noida,bedrock ventures,seed funding,,,2015.0,other
2500,2015-07-08,iorderfresh,,delhi,best foodworks,seed funding,,,2015.0,food
2501,2015-10-08,mytaxiindia,,gurgaon,"nihon kotsu,",private equity,500000.0,pre series-a,2015.0,real_estate
2502,2015-10-08,esadar,,delhi,"neha vats, gaurav vats",seed funding,80000.0,,2015.0,ecommerce
2503,2015-10-08,actionable analytics,,delhi,"b m gupta, vinod singhal",seed funding,,,2015.0,edtech
2504,2015-10-08,mypoolin,,delhi,qprize from qualcomm ventures,seed funding,250000.0,qprize contest winners,2015.0,media_entertainment
2505,2015-10-08,nearbuy (previouslyxc2xa0 groupon india),,delhi,sequoia capital,private equity,16000000.0,series a,2015.0,ecommerce
2506,2015-10-08,inkmonk,,chennai,"girish mathrubootham, phanindra sama, vikram chachra, others from letsventure",seed funding,250000.0,,2015.0,ecommerce
2507,2015-10-08,tonetag,,bangalore,reliance capital venture,private equity,1000000.0,series a,2015.0,fintech
2508,2015-10-08,grey orange,,gurgaon,tiger global management,private equity,30000000.0,series b,2015.0,logistics
2509,2015-11-08,livspace,,bangalore,"helion ventures, jungle ventures & bessemer venture partners",private equity,8000000.0,series a,2015.0,other
2510,2015-11-08,wow! momo,,kolkata,indian angel network,seed funding,1600000.0,,2015.0,food
2511,2015-11-08,raincan,,pune,ajeet khurana & others,seed funding,100000.0,,2015.0,food
2512,2015-11-08,allygrow technologies,,mumbai,zodius technology fund,private equity,20000000.0,series a,2015.0,other
2513,2015-11-08,infogain,,delhi,chryscapital,private equity,63000000.0,,2015.0,technology
2514,2015-12-08,oneassist,,mumbai,"sequoia capital, lightspeed ventures",private equity,7500000.0,series b,2015.0,technology
2515,2015-12-08,bigbasket,,bangalore,bessemer venture partners,private equity,50000000.0,series c,2015.0,food
2516,2015-12-08,sheroes,,noida,"quintillion media, 500 startups",seed funding,770000.0,,2015.0,technology
2517,2015-12-08,scripbox,,bangalore,"accel partners, deep kalra, rajesh magow, mohit gupta, shamik sharma",private equity,2500000.0,series a,2015.0,fintech
